Sample_Type,RNA_File_ID,RNA_File_Name,Case_ID,Sample_ID,RNA_Sample_ID,Slide_Sample_ID,Slide_ID,Slide_File_Name
Primary Tumor,432749f7-2baa-4afb-93f5-84f09783874a,be0d2e41-7373-4fa9-9c05-877e9ddcb88c.FPKM-UQ.txt.gz,TCGA-A1-A0SI,TCGA-A1-A0SI-01,TCGA-A1-A0SI-01A,TCGA-A1-A0SI-01Z,TCGA-A1-A0SI-01Z-00-DX1,TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432.svs
Primary Tumor,79c6f0d7-4d48-489d-a6f1-f3d8ca25cb20,90c4dd6e-a5cd-44fb-ad0c-8a27d88429c5.FPKM-UQ.txt.gz,TCGA-A1-A0SJ,TCGA-A1-A0SJ-01,TCGA-A1-A0SJ-01A,TCGA-A1-A0SJ-01Z,TCGA-A1-A0SJ-01Z-00-DX1,TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51.svs
Primary Tumor,c012f911-fb91-4359-8260-0cc6ed7ed379,b033c85a-2395-4ced-a84d-ac1fbce674bf.FPKM-UQ.txt.gz,TCGA-A1-A0SK,TCGA-A1-A0SK-01,TCGA-A1-A0SK-01A,TCGA-A1-A0SK-01Z,TCGA-A1-A0SK-01Z-00-DX1,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297.svs
Primary Tumor,baec53b4-7f70-4349-9413-2a7c78e3058f,1414d172-710a-4fb6-af82-f8b0c923b259.FPKM-UQ.txt.gz,TCGA-A1-A0SM,TCGA-A1-A0SM-01,TCGA-A1-A0SM-01A,TCGA-A1-A0SM-01Z,TCGA-A1-A0SM-01Z-00-DX1,TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78.svs
Primary Tumor,dd0119a4-821c-4bf3-9105-d75144b0dcd3,5fa88a87-e100-4fc5-bc26-995ad8191c8f.FPKM-UQ.txt.gz,TCGA-A1-A0SN,TCGA-A1-A0SN-01,TCGA-A1-A0SN-01A,TCGA-A1-A0SN-01Z,TCGA-A1-A0SN-01Z-00-DX1,TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540.svs
Primary Tumor,d218d953-2880-4533-b09b-64e1820a2aed,555de98a-5925-41d0-8095-7ae42c480861.FPKM-UQ.txt.gz,TCGA-A1-A0SP,TCGA-A1-A0SP-01,TCGA-A1-A0SP-01A,TCGA-A1-A0SP-01Z,TCGA-A1-A0SP-01Z-00-DX1,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs
Primary Tumor,707216db-5584-4eba-971c-0c9beefae300,9023df26-92cb-4dd9-8f2c-629dfaddd88b.FPKM-UQ.txt.gz,TCGA-A1-A0SQ,TCGA-A1-A0SQ-01,TCGA-A1-A0SQ-01A,TCGA-A1-A0SQ-01Z,TCGA-A1-A0SQ-01Z-00-DX1,TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A.svs
Primary Tumor,94c95208-7d88-4e44-b249-287dcac7f0df,ad6b6702-a1f1-4b1c-bd8a-8e2128c63a49.FPKM-UQ.txt.gz,TCGA-A2-A04N,TCGA-A2-A04N-01,TCGA-A2-A04N-01A,TCGA-A2-A04N-01Z,TCGA-A2-A04N-01Z-00-DX1,TCGA-A2-A04N-01Z-00-DX1.9E9B7DB0-1CF1-4631-8292-A9DBCA0BD37C.svs
Primary Tumor,9e0cf641-536b-4b5b-8fab-e9ba9334bde6,5141c576-e074-4fe4-805e-d58eae3ee198.FPKM-UQ.txt.gz,TCGA-A2-A04P,TCGA-A2-A04P-01,TCGA-A2-A04P-01A,TCGA-A2-A04P-01Z,TCGA-A2-A04P-01Z-00-DX1,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs
Primary Tumor,3d1ef466-166d-4ade-99ef-72bfd0aaf2ca,4dced115-7653-470d-b341-be1a447175db.FPKM-UQ.txt.gz,TCGA-A2-A04Q,TCGA-A2-A04Q-01,TCGA-A2-A04Q-01A,TCGA-A2-A04Q-01Z,TCGA-A2-A04Q-01Z-00-DX1,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs
Primary Tumor,9b3a6047-ec9c-4381-9b72-18144fbbb887,e740e34f-31fe-4fe4-8965-4e9ec5ec50fd.FPKM-UQ.txt.gz,TCGA-A2-A04R,TCGA-A2-A04R-01,TCGA-A2-A04R-01A,TCGA-A2-A04R-01Z,TCGA-A2-A04R-01Z-00-DX1,TCGA-A2-A04R-01Z-00-DX1.BE3661A3-A2A0-4248-B7D5-D8986E529B6C.svs
Primary Tumor,6012d203-a0c7-4002-a50b-41902039f71d,ee2002e1-39a4-4d50-9d37-1beea973830e.FPKM-UQ.txt.gz,TCGA-A2-A04T,TCGA-A2-A04T-01,TCGA-A2-A04T-01A,TCGA-A2-A04T-01Z,TCGA-A2-A04T-01Z-00-DX1,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs
Primary Tumor,6d8df733-1633-4c2b-b174-45c0113d05f4,59325a83-799e-4f38-aa82-a26b34e7e563.FPKM-UQ.txt.gz,TCGA-A2-A04U,TCGA-A2-A04U-01,TCGA-A2-A04U-01A,TCGA-A2-A04U-01Z,TCGA-A2-A04U-01Z-00-DX1,TCGA-A2-A04U-01Z-00-DX1.06D17357-46A8-4DC3-A22B-2F4EB6EE3F79.svs
Primary Tumor,d64a5eeb-7898-4cf6-9dcf-cab5c393c177,552e9a21-3493-4567-8d55-40e7f8009a5f.FPKM-UQ.txt.gz,TCGA-A2-A04V,TCGA-A2-A04V-01,TCGA-A2-A04V-01A,TCGA-A2-A04V-01Z,TCGA-A2-A04V-01Z-00-DX1,TCGA-A2-A04V-01Z-00-DX1.EB430DDB-8FE9-4302-8829-53DBAD09E79F.svs
Primary Tumor,87ae0bd8-b4f7-4ea3-97ec-f471dafa523f,7f08d0f0-7b1b-4ef0-a3ba-4bc12097a0bb.FPKM-UQ.txt.gz,TCGA-A2-A04W,TCGA-A2-A04W-01,TCGA-A2-A04W-01A,TCGA-A2-A04W-01Z,TCGA-A2-A04W-01Z-00-DX1,TCGA-A2-A04W-01Z-00-DX1.F7E7B945-2ADC-4741-8FCE-ACEA657DB9C7.svs
Primary Tumor,d70f309b-9a90-40da-b502-d55b44e10106,23721967-f211-4775-b90c-282126ef6286.FPKM-UQ.txt.gz,TCGA-A2-A04X,TCGA-A2-A04X-01,TCGA-A2-A04X-01A,TCGA-A2-A04X-01Z,TCGA-A2-A04X-01Z-00-DX1,TCGA-A2-A04X-01Z-00-DX1.E01A4522-67B3-4FEF-BD6B-99DFED9E7C85.svs
Primary Tumor,f582fa04-a37b-4bae-b762-6719c38f9686,a62f2229-21de-4876-9735-062659ccdcbf.FPKM-UQ.txt.gz,TCGA-A2-A04Y,TCGA-A2-A04Y-01,TCGA-A2-A04Y-01A,TCGA-A2-A04Y-01Z,TCGA-A2-A04Y-01Z-00-DX1,TCGA-A2-A04Y-01Z-00-DX1.4DC97AD6-4806-4A3A-A998-FD36F93590A4.svs
Primary Tumor,6488378f-5f85-4260-aba6-dbbd660cd1fe,b71a52ae-68fb-47c3-89da-24a42e947a8c.FPKM-UQ.txt.gz,TCGA-A2-A0CK,TCGA-A2-A0CK-01,TCGA-A2-A0CK-01A,TCGA-A2-A0CK-01Z,TCGA-A2-A0CK-01Z-00-DX1,TCGA-A2-A0CK-01Z-00-DX1.C3226BD1-11B0-4034-946A-BAB42958CE85.svs
Primary Tumor,28dfc711-29ab-4d41-99f8-5babd1ecc0e3,1d293e9f-7672-428c-be8d-3d180c8e8590.FPKM-UQ.txt.gz,TCGA-A2-A0CL,TCGA-A2-A0CL-01,TCGA-A2-A0CL-01A,TCGA-A2-A0CL-01Z,TCGA-A2-A0CL-01Z-00-DX1,TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E.svs
Primary Tumor,d80bf507-ae0e-4d71-98a5-851f720ad060,bd556315-a050-465f-9a41-bdebe7e3eb61.FPKM-UQ.txt.gz,TCGA-A2-A0CM,TCGA-A2-A0CM-01,TCGA-A2-A0CM-01A,TCGA-A2-A0CM-01Z,TCGA-A2-A0CM-01Z-00-DX1,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828.svs
Primary Tumor,688e9f29-bca3-4e35-b52a-dee9438c847e,51f23908-2796-4c07-82a8-21b8a717f84e.FPKM-UQ.txt.gz,TCGA-A2-A0CO,TCGA-A2-A0CO-01,TCGA-A2-A0CO-01A,TCGA-A2-A0CO-01Z,TCGA-A2-A0CO-01Z-00-DX1,TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5.svs
Primary Tumor,34a6a592-418e-443a-bfa5-2cabd67640f2,900a1913-f3b7-46ca-88be-c180a5fb5265.FPKM-UQ.txt.gz,TCGA-A2-A0CP,TCGA-A2-A0CP-01,TCGA-A2-A0CP-01A,TCGA-A2-A0CP-01Z,TCGA-A2-A0CP-01Z-00-DX1,TCGA-A2-A0CP-01Z-00-DX1.ECFD263C-BB17-4ADA-8F2C-654C2AA4C45F.svs
Primary Tumor,7583a24d-8346-4532-b787-2b51227f39aa,f4274249-5d92-402a-bce2-d28579e87f33.FPKM-UQ.txt.gz,TCGA-A2-A0CQ,TCGA-A2-A0CQ-01,TCGA-A2-A0CQ-01A,TCGA-A2-A0CQ-01Z,TCGA-A2-A0CQ-01Z-00-DX1,TCGA-A2-A0CQ-01Z-00-DX1.4E5FB4E5-A08C-4C87-A3BE-0640A95AE649.svs
Primary Tumor,9fd5c132-a3b1-4156-b285-a2c194495b57,1e215a66-f961-4870-a370-4b945e1f7053.FPKM-UQ.txt.gz,TCGA-A2-A0CR,TCGA-A2-A0CR-01,TCGA-A2-A0CR-01A,TCGA-A2-A0CR-01Z,TCGA-A2-A0CR-01Z-00-DX1,TCGA-A2-A0CR-01Z-00-DX1.F7D36CA5-A4C6-443A-AEED-5B23CD924FA3.svs
Primary Tumor,c49e1e8a-f112-4942-a147-1ab1f157deb8,5c006621-470c-4d58-9c59-804988b955d9.FPKM-UQ.txt.gz,TCGA-A2-A0CS,TCGA-A2-A0CS-01,TCGA-A2-A0CS-01A,TCGA-A2-A0CS-01Z,TCGA-A2-A0CS-01Z-00-DX1,TCGA-A2-A0CS-01Z-00-DX1.3986B545-63E8-4727-BCC1-701DE947D1FB.svs
Primary Tumor,a4cb2ce9-d38c-4f23-b098-d2c0eafb9784,1d7afc91-311c-4f26-9be0-b76ac284ee96.FPKM-UQ.txt.gz,TCGA-A2-A0CT,TCGA-A2-A0CT-01,TCGA-A2-A0CT-01A,TCGA-A2-A0CT-01Z,TCGA-A2-A0CT-01Z-00-DX1,TCGA-A2-A0CT-01Z-00-DX1.A8564130-49CF-4F5B-B5AB-F4D1A10479FF.svs
